OTU_ID	ComD55.B	ComD61.B	ComD49.B	ComD10.B	ComD14.B	ComD47.C	ComC11.B	ComC46.A	ComC43.A	ComC20.A	ComC45.A	ComC49.B	ComD16.C	ComC45.B	ComC24.A	ComC31.A	ComC43.B	ComD29.B	ComC47.A	ComD43.C	ComC13.A	ComD76.B	ComD76.C	ComC13.B	ComD60.C	ComD23.C	ComD18.B	ComD8.A	ComD65.B	ComD18.C	ComC55.B	ComD28.B	ComD78.C	ComD66.B	ComD61.C	ComD21.C	ComD65.C	ComC53.B	ComC9.A	ComC10.A	ComC6.B	ComD49.C	ComC65.A	ComD64.B	ComC50.A	ComD64.C	ComD3.B	ComD51.C	ComD71.C	ComD5.A	ComD37.C	ComC54.A	ComC33.A	ComD62.B	ComD24.C	ComD8.B	ComC24.B	ComD41.C	ComC32.A	ComC41.B	ComC15.B	ComD4.A	ComD29.C	ComD48.C	ComD34.C	ComD5.B	ComD70.B	ComC15.A	ComD25.C	ComC9.B	ComD75.C	ComD20.C	ComC48.B	ComC65.B	ComD36.B	ComC21.A	ComD70.C	ComD62.C	ComC39.B	ComC33.B	ComD3.A	ComC44.B	ComD53.B	ComD26.B	ComD20.B	ComD11.A	ComD35.C	ComC69.A	ComD31.B	ComD36.C	ComD24.B	ComC14.A	ComC62.A	ComD25.B	ComD50.C	ComC60.B	ComC50.B	ComC5.A	ComD31.C	ComD26.C	ComC27.A	ComC22.A	ComC69.B	ComD2.A	ComC22.B	ComC41.A	ComC26.A	ComC54.B	ComC30.B	ComD50.B	ComD54.C	ComD71.B	ComD4.B	ComD48.B	ComD34.B	ComD33.C	ComC55.A	ComC11.A	ComD39.C	ComD43.B	ComC40.A	ComD38.B	ComD46.B	ComC40.B	ComC18.A	ComC21.B	ComD16.B	ComC62.B	ComD28.C	ComC7.B	ComD73.B	ComD12.A	ComC58.A	ComC67.A	ComD33.B	ComD78.B	ComD57.C	ComD23.B	ComD15.B	ComC38.B	ComC49.A	ComD11.B	ComD21.B	ComD51.B	ComD38.C	ComD79.C	ComC28.A	ComD80.C	ComD79.B	ComC8.A	ComD80.B	ComD7.B	ComD13.A	ComC59.B	ComD55.C	ComC17.A	ComC28.B	ComC48.A	ComD13.B	ComD42.C	ComC17.B	ComD14.A	ComC59.A	ComD77.C	ComC68.A	ComC8.B	ComD63.B	ComC26.B	ComC67.B	ComD42.B	ComD73.C	ComC10.B	ComD17.C	ComC20.B	ComD37.B	ComD59.C	ComD12.B	ComD69.C	ComC47.B	ComD44.B	ComC44.A	ComD27.B	ComC56.A	ComC31.B	ComC2.A	ComD67.C	ComD67.B	ComC52.A	ComC57.B	ComD19.C	ComD54.B	ComD17.B	ComC29.B	ComC52.B	ComD40.C	ComC30.A	ComD53.C	ComD72.C	ComC27.B	ComD30.C	ComD47.B	ComD75.B	ComD69.B	ComD2.B	ComC32.B	ComC57.A	ComC51.B	ComC66.B	ComD63.C	ComD52.B	ComC39.A	ComC6.A	ComD52.C	ComC34.A	ComD27.C	ComD15.A	ComC46.B	ComC25.B	ComD44.C	ComC56.B	ComD10.A	ComD1.A	ComD19.B	ComD72.B	ComC36.A	ComC51.A	ComD39.B	ComC2.B	ComD60.B	ComD30.B	ComC63.A	ComC14.B	ComC35.B	ComC34.B	ComD66.C	ComC58.B	ComC53.A	ComD1.B	ComD22.C	ComC19.B	ComD56.B	ComC7.A	ComC12.A	ComD77.B	ComD7.A	ComC37.A	ComD9.B	ComC16.A	ComC29.A	ComC37.B	ComC16.B	ComC19.A	ComD74.C	ComC61.A	ComC42.B	ComC42.A	ComC35.A	ComD46.C	ComD35.B	ComC38.A	ComD58.C	ComC61.B	NegCont.C	ComD57.B	ComD45.C	NegCont.B	ComC64.A	ComC68.B	ComC60.A	ComC64.B	ComD68.C	ComD74.B	ComD68.B	ComD9.A	ComC66.A	ComD56.C	ComC18.B	ComC12.B	ComD58.B	ComC36.B
k__Bacteria;p__Chlamydiae	54	184	161	54	416	15	12	1	316	736	156	73	17	144	32	337	378	43	44	86	39	302	256	41	1	200	52	46	279	75	9	95	3	1	183	38	245	4	5	708	11	150	470	261	46	353	20	71	38	26	113	24	231	36	2	68	32	2	17	414	59	9	86	31	35	26	27	56	26	4	96	19	11	445	64	13	5	35	25	187	35	16	18	183	12	59	33	22	12	104	4	30	92	5	143	3	38	19	15	228	14	10	44	50	19	440	21	23	13	110	82	86	12	18	25	145	14	11	67	113	103	5	11	94	37	19	11	95	167	6	56	16	55	79	114	11	5	139	113	4	58	97	30	77	7	90	63	46	113	143	54	298	49	1035	68	1159	109	3	58	156	1056	354	1093	1	1	109	39	12	57	125	39	531	67	617	95	508	28	86	55	78	8	16	6	222	12	15	14	49	33	8	90	48	17	41	9	7	13	12	21	31	15	75	142	34	13	33	18	1	37	14	34	13	25	16	6	116	2	1	57	4	34	33	4	25	19	43	27	17	8	39	13	28	27	11	0	51	8	31	455	2	38	4	13	9	359	10	12	1	17	3	1	2	21	0	3	4	31	10	30	6	117	3	2	8	6	2	12	1	4	4	7	15	9	4	2	55	31	19	70	13
k__Bacteria;p__Chlorobi	0	1	2	0	0	0	0	0	0	2	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	5	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1
k__Bacteria;p__Chloroflexi	127	116	339	1	152	2	8	45	53	404	1105	272	8	1189	62	521	59	107	13	613	5561	308	321	5721	1	93	240	23	606	223	0	28	25	2	94	1527	528	2	12	2741	1	354	402	343	51	318	1	61	37	0	39	9	927	24	5	16	70	22	1	211	72	10	123	1	1	3	7	79	3	12	25	4	11	414	30	8	11	34	7	1002	5	28	0	103	0	174	14	3	1	20	7	196	34	6	72	20	36	16	1	112	6	2	9	45	4	204	0	10	9	62	143	73	18	0	4	69	2	6	17	563	708	0	3	799	2	7	7	33	58	5	5	6	29	112	91	30	53	140	12	3	202	203	1886	45	0	53	36	17	84	1001	17	8	13	274	191	85	62	25	47	77	130	197	338	19	3	920	33	3	130	87	8	2411	25	364	37	36	6	163	11	3	34	6	10	487	0	3	1	410	8	14	123	30	2	438	11	6	2	1	9	1	10	15	135	38	3	9	6	0	14	4	12	1	2	6	2	2	29	153	1	6	1	8	9	0	419	2	10	3	1	4	34	140	166	9	2	14	4	8	39	0	7	1	3	3	1	44	4	1	2	30	0	2	3	2	0	1	112	2	18	0	3	0	11	48	37	20	2	3	16	2	30	3	23	0	0	9	8	7	8	310
k__Bacteria;p__Cyanobacteria	12	11	16	6	1	11	3	0	2	152	83	26	22	65	19	22	0	3	1	145	444	10	15	503	2	9	79	20	77	62	0	13	0	0	10	105	61	37	1	838	58	24	23	12	70	23	14	7	4	5	9	0	66	5	0	42	12	40	8	8	0	265	2	8	2	8	3	2	41	2	6	0	12	11	14	0	6	10	3	67	7	3	4	16	0	77	0	2	2	8	0	1	19	24	154	1	58	1	2	11	1	3	1	8	6	14	2	0	1	132	0	7	335	3	5	32	0	0	95	142	17	0	2	5	5	2	12	22	21	1	10	106	3	0	41	0	0	4	82	0	22	140	128	5	3	1	0	0	7	2	0	29	20	20	6	0	0	3	18	35	10	2	13	28	1	17	9	2	0	45	16	735	75	193	13	62	192	31	1	15	2	3	2	63	3	5	5	0	1	0	4	75	1	0	7	2	5	0	2	2	8	22	17	16	5	1	0	0	17	5	8	48	11	6	3	63	0	2	30	2	8	6	1	0	0	0	73	0	1	1	2	0	13	2	0	1	28	4	14	0	22	1	0	32	20	6	15	4	0	0	0	0	6	0	0	0	22	1	1	1	4	0	0	1	4	5	0	1	0	0	0	7	0	13	1	24	0	1	10	0
k__Bacteria;p__Elusimicrobia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
k__Bacteria;p__FCPU426	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Fibrobacteres	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes	1846	857	614	70	1717	18	1171	853	627	816	2126	1064	5630	2197	211	224	740	892	347	1484	443	567	537	371	569	728	3617	759	557	3540	28	170	3589	57	849	653	456	175	229	962	537	639	1199	973	765	998	65	35	478	10737	346	194	6295	338	125	749	196	3133	2945	831	253	397	951	531	327	9859	636	273	320	175	244	66	9271	1129	319	1699	445	343	402	6155	72	12986	101	858	77	1431	145	129	49	308	132	306	174	352	513	7515	644	3318	54	782	141	5263	192	356	5517	987	236	174	4116	544	24926	730	465	505	335	571	25	1256	1156	1485	223	129	243	213	185	1657	5300	144	231	5402	132	442	42	143	559	4085	27	601	233	1560	976	1276	576	41	227	340	1659	116	342	294	135	135	255	1280	2011	1502	1597	7945	173	739	1117	1655	1320	684	207	332	427	251	112	792	89	922	1013	549	275	421	440	308	446	217	13031	1448	5389	139	157	25	35	158	71	286	26371	961	62	179	138	4356	63	433	133	807	18	376	255	383	2829	61	1182	2656	336	1185	409	502	1251	287	947	195	910	6700	224	5110	75	23	231	462	22	1146	1017	137	819	780	116	263	38	270	62	45	192	18	8811	69	82	5516	380	640	152	75	274	7512	99	77	6864	75	18744	62	5901	4906	68	159	127	1533	136	75	192	37	127	35	155	150	7609	176	1628	19011	1858	228	2492	52	172	325	169	19
k__Bacteria;p__Fusobacteria	0	0	0	0	0	0	0	0	3	0	0	6	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	2	1	1	0	0	0	0	0	9	0	3	0	0	0	0	1	0	0	0	0	2	0	3	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	22	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	2	4	3	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	7	0	0	0	38	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	1	0	4	0	0	0	0	1	0	0	0	13	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	40	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__GN02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Gemmatimonadetes	1	53	152	0	1	0	1	3	16	1261	299	63	0	304	7	23	7	21	5	100	3	11	4	5	0	0	104	14	116	90	0	1	0	0	27	0	101	0	17	2536	2	146	0	114	128	142	6	48	2	0	25	0	637	6	0	7	1	0	3	69	0	2	17	1	0	0	3	0	1	15	0	0	28	0	4	0	0	5	4	754	3	170	0	1	0	1	0	0	0	6	0	0	81	3	45	7	92	1	0	1	0	3	3	0	9	38	0	1	2	82	0	6	0	0	0	74	0	2	2	129	40	0	0	41	1	4	0	96	5	0	3	0	2	42	79	0	2	4	1	0	89	4	2	53	0	0	1	0	0	61	0	0	5	961	6	3	0	14	17	3	1	4	987	0	0	70	0	0	51	0	1	2682	17	1447	8	389	1	42	6	3	158	1	5	26	0	2	2	13	12	2	0	3	0	8	0	2	1	0	1	1	10	3	79	7	1	6	11	0	3	2	3	5	1	2	0	0	3	33	1	3	0	7	3	0	34	6	3	0	3	0	29	0	15	3	0	1	0	9	0	0	0	0	0	0	0	22	1	0	1	20	1	0	0	0	0	1	9	0	0	2	0	0	1	4	1	1	0	1	5	0	0	2	0	1	0	2	0	0	0	23
k__Bacteria;p__NKB19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	20	0	0	0	1	0	0	0	0	24	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Nitrospirae	0	8	74	0	0	0	0	0	0	63	0	0	0	0	0	16	1	0	0	64	0	18	15	0	0	0	12	2	91	15	0	0	0	0	14	1	100	0	0	171	0	70	0	3	45	3	0	0	3	1	8	0	79	0	0	4	3	0	0	11	0	8	0	0	0	0	0	0	0	0	0	0	1	0	23	0	0	3	1	70	0	3	0	0	0	0	0	0	0	2	0	0	4	0	39	0	52	0	0	0	0	0	0	5	1	10	1	0	6	46	0	7	12	1	0	19	0	0	0	80	9	1	0	4	0	0	0	8	2	0	0	0	0	3	12	0	0	0	0	0	0	0	0	1	0	0	1	0	0	25	0	0	2	2	0	0	0	1	6	30	0	0	2	0	0	18	0	0	1	10	1	162	0	49	6	15	0	64	1	1	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	58	0	0	0	1	0	0	0	0	0	0	1	0	0	1	3	0	1	0	1	0	0	0	1	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	2
k__Bacteria;p__OD1	8	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	1	0	0	5	0	0	0	0	1	0	0	0	2	0	1	0	3	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	9	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	3	2	0	1	0	0	0	0	0	0	0	0	0	0	0	9	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	0	3	3	0	0	1	0	0	1	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	1	0	0	0	8	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	3	8	0	0	0	0	1	3	0	0	0	0	0	0	0	0
k__Bacteria;p__OP11	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__OP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Planctomycetes	848	702	1784	21	1485	129	31	66	990	6532	3750	1224	49	3399	128	2625	1001	606	671	5249	1270	330	451	1271	6	334	1416	311	4494	1240	14	358	13	8	615	107	3773	23	163	9543	112	1811	1960	1633	598	1482	20	133	274	108	495	61	2755	281	0	371	131	159	87	2353	761	426	607	21	51	29	44	599	34	181	300	28	142	1820	329	64	38	298	294	3229	19	374	36	647	33	299	142	30	22	306	5	234	503	38	780	84	487	86	18	860	18	61	41	215	81	1934	34	51	277	1010	935	410	333	10	84	840	6	30	150	4946	1954	6	11	1887	47	71	55	475	243	30	201	31	118	773	902	14	62	199	41	5	1214	320	124	174	19	750	418	75	633	1375	102	154	165	3129	1580	1090	395	74	125	1315	1163	1592	3221	54	16	1369	176	29	783	1345	260	10209	198	7044	359	1420	28	755	681	151	477	30	49	2447	89	30	40	724	100	63	661	263	48	648	136	360	54	29	16	24	200	257	558	233	78	60	98	23	172	134	329	105	89	156	15	70	86	475	175	44	15	85	88	46	759	118	200	87	25	17	36	267	143	117	13	86	19	92	155	35	55	23	225	31	121	245	91	7	40	268	7	17	44	15	8	9	225	5	149	8	41	27	189	68	23	5	68	11	88	55	364	74	276	85	35	120	52	184	101	514
k__Bacteria;p__Proteobacteria	47991	44506	43478	51794	19202	36511	49298	50958	36080	31467	39330	33857	45392	39907	41891	14660	35744	40667	47260	31985	21497	45762	45566	21983	52183	43125	37366	42828	35771	38402	51762	44956	49117	51828	45068	47224	37055	52085	51060	23125	46229	42955	19506	40653	47544	40664	50632	48825	50505	41318	45509	49734	28201	49499	51103	42700	42067	46234	47737	26674	48896	50250	39808	51945	51350	42233	51901	49274	51708	51114	44715	36643	42163	19614	44806	48994	52164	49417	47542	26646	50564	37094	52505	31969	33164	38064	51097	52105	52224	44188	50799	50411	49672	51592	48110	44040	48118	44020	52165	31553	50422	40816	51829	46183	38706	28054	51793	49915	46961	46896	22684	48953	50090	51976	50709	44122	52026	49274	46893	32314	41633	52639	48237	41449	47511	49110	45548	49782	44310	45742	48407	50270	51393	45826	43801	48598	49941	42831	48761	50445	34318	38195	46509	49486	52323	48336	30719	51660	48701	37028	51293	48763	50050	16854	46869	29714	30388	44040	50437	41456	28859	18896	16975	51140	52578	37338	47403	51742	45355	42205	48620	23444	44692	31158	46241	42387	50244	49539	47197	46157	37051	50093	47298	14038	48558	52772	52760	49516	45904	50564	21928	44445	52277	49563	51751	46660	52625	48199	50725	51018	35940	44688	49920	46020	48101	47486	50414	50170	47864	49456	46987	46541	49250	50337	51136	48628	51023	42824	45891	47634	51681	44868	50752	45720	50735	50434	47204	49170	51833	51109	50781	50491	49842	50550	51997	51538	52092	44905	39149	52137	50840	45197	48609	51221	48724	51170	51357	45045	52124	51233	45682	52284	33136	52715	46694	47710	49649	50200	51197	50330	51233	52723	52364	48746	52312	52806	51820	52679	43947	51982	50157	32809	49941	51417	50305	50451	47334	48917	51455	51288
k__Bacteria;p__SBR1093	16	31	59	0	3	4	0	1	1	792	170	0	1	150	0	165	0	1	4	135	0	26	25	0	0	2	75	0	155	68	0	0	1	1	31	0	141	0	20	1212	0	39	26	267	44	311	0	4	14	2	20	0	124	2	1	0	0	0	0	25	0	0	2	0	0	3	0	0	1	39	0	0	10	17	1	0	0	4	0	129	0	200	0	0	0	6	1	0	0	1	0	1	101	0	33	1	64	2	0	0	1	1	1	5	3	20	0	2	0	45	3	30	1	0	0	116	0	1	0	115	2	0	0	6	0	1	1	121	0	0	75	1	1	0	117	0	2	1	6	1	0	5	13	1	0	0	0	0	1	47	0	0	0	700	0	74	0	8	1	25	59	0	694	6	0	35	0	0	0	26	76	1194	1	660	13	2859	1	6	1	1	236	0	2	149	0	1	4	0	9	0	1	2	1	0	2	0	0	0	0	0	3	0	12	3	2	9	0	0	0	1	0	0	1	2	1	6	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	4	0	0	1	1	0	7	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	5	1	2	0	2	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0
k__Bacteria;p__SR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
