"family","day","chkov","ref2p","O","A","M"
"B5_5",14,"resistant","susceptible",-5.69347025,-5.7017557,NA
"B5_5",15,"resistant","susceptible",-7.58182025,NA,-6.97933367
"B5_6",11,"resistant","susceptible",-7.20567387,-6.55732582,NA
"B5_6",14,"resistant","susceptible",-7.16297025,-4.6425557,NA
"B5_6",15,"resistant","susceptible",-7.76897025,NA,NA
"B5_6",12,"resistant","susceptible",-7.50501632,NA,-5.78602176
"B5_6",13,"resistant","susceptible",NA,-4.1890253,-6.27038482
"B5_8",11,"susceptible","susceptible",-8.38911103,-4.70387881,NA
"B5_8",13,"susceptible","susceptible",NA,-4.51022481,-5.89933482
"B5_8",12,"susceptible","susceptible",-8.38575496,NA,-4.6300627
"B5_8",15,"susceptible","susceptible",-8.47092025,NA,-5.77643367
"B5_8",14,"susceptible","susceptible",-9.38387025,-4.26720407,NA
"B6_11",18,"susceptible","susceptible",NA,-5.65200335,-6.8506998
"B6_11",14,"susceptible","susceptible",-10.29926661,-5.53910407,NA
"B6_11",15,"susceptible","susceptible",-8.66982878,NA,-8.46933367
"B6_12",18,"susceptible","susceptible",NA,-7.51905335,-5.78206586
"B6_12",15,"susceptible","susceptible",-9.04614316,NA,-7.69189316
"B6_12",14,"susceptible","susceptible",-9.62966661,-5.02871184,NA
"B6_14",18,"susceptible","susceptible",NA,-5.40050341,-5.7027498
"B6_14",14,"susceptible","susceptible",-8.07911661,-4.60440407,NA
"B6_14",15,"susceptible","susceptible",-7.67334316,NA,-7.75795341
"B6_15",15,"resistant","susceptible",-7.05604316,NA,-5.32803367
"B6_15",18,"resistant","susceptible",NA,-5.50416586,-3.66831691
"B6_15",14,"resistant","susceptible",-9.08966661,-4.81807693,NA
"B6_16",14,"resistant","susceptible",-6.93851098,-4.27751184,NA
"B6_16",15,"resistant","susceptible",-7.65237878,NA,-7.35805341
"B6_16",18,"resistant","susceptible",NA,-5.66388025,-7.21546586
