"family","day","chkov","ref2p","O","A","M"
"A3_5",4,"susceptible","susceptible",NA,-5.55292184,-5.95281128
"A3_5",8,"susceptible","susceptible",-6.75540564,NA,-5.33291314
"A4_14",8,"resistant","susceptible",-7.64625346,-3.99024175,NA
"A4_14",10,"resistant","susceptible",NA,-5.86440878,-5.56705731
"A4_14",7,"resistant","susceptible",NA,-5.61204151,-6.77051683
"A4_14",9,"resistant","susceptible",-7.60959876,NA,-5.96901453
"A4_15",10,"susceptible","susceptible",NA,-6.53525878,-5.0130728
"A4_15",8,"susceptible","susceptible",-9.22041212,-6.32337421,NA
"A4_15",9,"susceptible","susceptible",-8.44838913,NA,-5.47412772
"A4_15",7,"susceptible","susceptible",NA,-5.6220273,-6.62964847
"A4_16",9,"resistant","susceptible",-7.93174876,NA,-6.64112772
"A4_16",8,"resistant","susceptible",-7.23876212,-6.26102421,NA
